<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
SBER;D;20180926;0;195.79;61921270
SBER;D;20180927;0;204.1;101237930
SBER;D;20180928;0;203.32;101713950
SBER;D;20181001;0;204.2;54910300
SBER;D;20181002;0;199.5;78785280
SBER;D;20181003;0;198.3;76596520
SBER;D;20181004;0;189.35;87366140
SBER;D;20181005;0;187.2;103113200
SBER;D;20181008;0;191.85;82473320
SBER;D;20181009;0;191.25;85996750
SBER;D;20181010;0;189.89;67252690
SBER;D;20181011;0;185.27;124815860
SBER;D;20181012;0;191.85;62953360
SBER;D;20181015;0;190.92;54179560
SBER;D;20181016;0;196.05;63932100
SBER;D;20181017;0;194.05;78536820
SBER;D;20181018;0;191;49316170
SBER;D;20181019;0;183.8;96812630
SBER;D;20181022;0;180.7;92794800
SBER;D;20181023;0;181;77734500
SBER;D;20181024;0;188.01;106766580
SBER;D;20181025;0;186.71;79879160
SBER;D;20181026;0;181;92743040
SBER;D;20181029;0;185.59;61308190
SBER;D;20181030;0;184.78;60947920
SBER;D;20181031;0;189.8;66807090
SBER;D;20181101;0;188.67;77488300
SBER;D;20181102;0;192.6;69101360
SBER;D;20181106;0;197.8;65475770
SBER;D;20181107;0;201.9;98584000
SBER;D;20181108;0;202.89;94674040
SBER;D;20181109;0;195.75;95906430
SBER;D;20181112;0;196.82;82176760
SBER;D;20181113;0;196.56;78488310
SBER;D;20181114;0;199.2;82924950
SBER;D;20181115;0;200.15;62195840
SBER;D;20181116;0;199.26;66333750
SBER;D;20181119;0;197.99;50476830
SBER;D;20181120;0;194.21;66342610
SBER;D;20181121;0;197.5;58394580
SBER;D;20181122;0;199.4;49689840
SBER;D;20181123;0;197.3;50857500
SBER;D;20181126;0;188.5;117217680
SBER;D;20181127;0;191.03;87678410
SBER;D;20181128;0;190.2;60212610
SBER;D;20181129;0;195.76;83062140
SBER;D;20181130;0;194;67218160
SBER;D;20181203;0;200.3;81371000
SBER;D;20181204;0;199;57830610
SBER;D;20181205;0;196;49420360
SBER;D;20181206;0;192.19;64405800
SBER;D;20181207;0;195.01;63935050
SBER;D;20181210;0;191.8;61557850
SBER;D;20181211;0;192.57;54785390
SBER;D;20181212;0;190.45;50917260
SBER;D;20181213;0;189.17;43425460
